Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2880,MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,$0.7,$0.0,$0.0,$0.1,$0.7
2881,Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,$0.6,$0.1,$0.0,$0.0,$0.7
2882,Scooby-Doo 2: Monsters Unleashed,GBA,2004,Action,THQ,$0.5,$0.2,$0.0,$0.0,$0.7
2883,Power Rangers: Dino Thunder,PS2,2004,Action,THQ,$0.4,$0.3,$0.0,$0.1,$0.7
2884,Rhythm Heaven: The Best+,3DS,2015,Misc,Nintendo,$0.0,$0.0,$0.7,$0.0,$0.7
2885,LEGO Racers,N64,1999,Racing,LEGO Media,$0.5,$0.2,$0.0,$0.0,$0.7
2886,WWF Attitude,N64,1999,Fighting,Acclaim Entertainment,$0.6,$0.1,$0.0,$0.0,$0.7
2887,Blast Corps,N64,1997,Action,Nintendo,$0.4,$0.1,$0.2,$0.1,$0.7
2888,LEGO Harry Potter: Years 1-4,PSP,2010,Action,Warner Bros. Interactive Entertainment,$0.1,$0.4,$0.0,$0.2,$0.7
2889,Tactics Ogre: Let Us Cling Together,SNES,1995,Role-Playing,Quest,$0.0,$0.0,$0.7,$0.0,$0.7
2890,"WarioWare, Inc.: Mega Party Game$",GC,2003,Puzzle,Nintendo,$0.2,$0.1,$0.4,$0.0,$0.7
2891,Football Manager 2014,PC,2013,Sports,Sega,$0.0,$0.6,$0.0,$0.1,$0.7
2892,Battle Arena Toshinden 2,PS,1995,Fighting,Sony Computer Entertainment,$0.2,$0.1,$0.4,$0.1,$0.7
2893,WWE SmackDown vs. Raw 2011,PSP,2010,Fighting,THQ,$0.2,$0.3,$0.0,$0.2,$0.7
2894,Jeopardy!,PS,1997,Misc,Hasbro Interactive,$0.4,$0.3,$0.0,$0.1,$0.7
2895,South Park,PS,1998,Shooter,Acclaim Entertainment,$0.4,$0.3,$0.0,$0.1,$0.7
2896,Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,$0.4,$0.3,$0.0,$0.1,$0.7
2897,Two Worlds,X360,2007,Role-Playing,SouthPeak Games,$0.4,$0.2,$0.0,$0.1,$0.7
2898,Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,$0.5,$0.2,$0.0,$0.0,$0.7
2899,NCAA Football 09,X360,2008,Sports,Electronic Arts,$0.7,$0.0,$0.0,$0.1,$0.7
2900,NBA Live 09,X360,2008,Sports,Electronic Arts,$0.5,$0.1,$0.0,$0.1,$0.7
2901,Ratchet & Clank: Into the Nexus,PS3,2013,Shooter,Sony Computer Entertainment,$0.3,$0.3,$0.0,$0.1,$0.7
2902,Spider-Man 2,PSP,2005,Action,Activision,$0.4,$0.2,$0.0,$0.1,$0.7
2903,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,$0.2,$0.4,$0.0,$0.2,$0.7
2904,London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,$0.1,$0.5,$0.0,$0.2,$0.7
2905,NHL 12,X360,2011,Sports,Electronic Arts,$0.6,$0.1,$0.0,$0.1,$0.7
2906,Tony Hawk's Underground,GC,2003,Sports,Activision,$0.5,$0.1,$0.0,$0.0,$0.7
2907,Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,$0.3,$0.2,$0.1,$0.1,$0.7
2908,Super Bomberman 3,SNES,1994,Puzzle,Hudson Soft,$0.0,$0.0,$0.7,$0.0,$0.7
2909,Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,$0.4,$0.3,$0.0,$0.1,$0.7
2910,The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,$0.3,$0.3,$0.0,$0.1,$0.7
2911,Star Wars: Obi-Wan,XB,2001,Action,Activision,$0.5,$0.2,$0.0,$0.0,$0.7
2912,NCAA Football 08,X360,2007,Sports,Electronic Arts,$0.7,$0.0,$0.0,$0.1,$0.7
2913,Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,$0.3,$0.3,$0.0,$0.1,$0.7
2914,Lalaloopsy,DS,2011,Simulation,Activision,$0.5,$0.1,$0.0,$0.1,$0.7
2915,Madden NFL 2005,GC,2004,Sports,Electronic Arts,$0.5,$0.1,$0.0,$0.0,$0.7
2916,F-14 Tomcat,GBA,2001,Action,Majesco Entertainment,$0.5,$0.2,$0.0,$0.0,$0.7
2917,SplashDown,PS2,2001,Racing,Atari,$0.3,$0.3,$0.0,$0.1,$0.7
2918,NCAA Football 98,PS,1997,Sports,Electronic Arts,$0.4,$0.3,$0.0,$0.1,$0.7
2919,Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,$0.5,$0.2,$0.0,$0.0,$0.7
2920,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009,Shooter,Activision,$0.3,$0.3,$0.0,$0.1,$0.7
2921,The Sims 3,DS,2010,Simulation,Electronic Arts,$0.4,$0.3,$0.0,$0.1,$0.7
2922,Skylanders: Trap Team,WiiU,2014,Action,Activision,$0.4,$0.3,$0.0,$0.1,$0.7
2923,Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,$0.2,$0.4,$0.0,$0.1,$0.7
2924,Chocobo's Dungeon 2,PS,1998,Role-Playing,SquareSoft,$0.0,$0.0,$0.6,$0.1,$0.7
2925,Advance Wars,GBA,2001,Strategy,Nintendo,$0.5,$0.2,$0.0,$0.0,$0.7
2926,Hannah Montana: The Movie,DS,2009,Adventure,Disney Interactive Studios,$0.4,$0.3,$0.0,$0.1,$0.7
2927,World of Zoo,DS,2009,Simulation,THQ,$0.4,$0.2,$0.0,$0.1,$0.7
2928,Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,$0.5,$0.0,$0.1,$0.1,$0.7
2929,NASCAR 2001,PS2,2000,Racing,Electronic Arts,$0.3,$0.3,$0.0,$0.1,$0.7
2930,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,$0.3,$0.3,$0.0,$0.1,$0.7
2931,Book of Spells,PS3,2012,Action,Sony Computer Entertainment,$0.1,$0.4,$0.0,$0.2,$0.7
2932,NCAA Football 2001,PS,2000,Sports,Electronic Arts,$0.4,$0.3,$0.0,$0.1,$0.7
2933,Mafia,PS2,2004,Action,Illusion Softworks,$0.3,$0.3,$0.0,$0.1,$0.7
2934,Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,$0.2,$0.1,$0.4,$0.0,$0.7
2935,Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment,$0.2,$0.2,$0.2,$0.1,$0.7
2936,TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,$0.3,$0.3,$0.0,$0.1,$0.7
2937,MotionSports,X360,2010,Sports,Ubisoft,$0.4,$0.3,$0.0,$0.1,$0.7
2938,MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,$0.6,$0.0,$0.0,$0.1,$0.7
2939,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,Nintendo,$0.4,$0.1,$0.2,$0.0,$0.7
2940,Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,Nintendo,$0.0,$0.0,$0.7,$0.0,$0.7
2941,Disney's Chicken Little,GBA,2005,Platform,Disney Interactive Studios,$0.5,$0.2,$0.0,$0.0,$0.7
2942,King Kong,2600,1981,Action,Tigervision,$0.7,$0.0,$0.0,$0.0,$0.7
2943,WWE 2K15,X360,2014,Sports,Take-Two Interactive,$0.4,$0.3,$0.0,$0.1,$0.7
2944,The LEGO Movie Videogame,3DS,2014,Action,Warner Bros. Interactive Entertainment,$0.3,$0.3,$0.1,$0.1,$0.7
2945,X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,$0.4,$0.2,$0.0,$0.1,$0.7
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,$0.3,$0.0,$0.3,$0.2,$0.7
2947,Disney Tangled,Wii,2010,Action,Disney Interactive Studios,$0.5,$0.2,$0.0,$0.1,$0.7
2948,Shrek the Third,X360,2007,Action,Activision,$0.5,$0.1,$0.0,$0.1,$0.7
2949,Test Drive Unlimited 2,X360,N/A,Racing,Atari,$0.3,$0.3,$0.0,$0.1,$0.7
2950,Moto Racer 2,PS,1997,Racing,Electronic Arts,$0.4,$0.3,$0.0,$0.1,$0.7
2951,Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,$0.5,$0.1,$0.0,$0.0,$0.7
2952,Minecraft: Story Mode,PS3,2015,Adventure,Mojang,$0.3,$0.3,$0.0,$0.1,$0.7
2953,Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,$0.6,$0.0,$0.0,$0.1,$0.7
2954,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,$0.6,$0.0,$0.0,$0.1,$0.7
2955,Skylanders: Trap Team,PS3,2014,Action,Activision,$0.2,$0.3,$0.0,$0.1,$0.7
2956,Mario Pinball Land,GBA,2004,Misc,Nintendo,$0.5,$0.2,$0.0,$0.0,$0.7
2957,Mappy,NES,1984,Platform,Namco Bandai Games,$0.0,$0.0,$0.7,$0.0,$0.7
2958,J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,$0.0,$0.0,$0.7,$0.0,$0.7
2959,Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,$0.5,$0.1,$0.0,$0.0,$0.7
2960,NFL Xtreme,PS,1998,Sports,Sony Computer Entertainment,$0.4,$0.3,$0.0,$0.1,$0.7
2961,The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,$0.5,$0.1,$0.0,$0.1,$0.7
2962,One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,$0.0,$0.2,$0.4,$0.1,$0.7
2963,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,$0.2,$0.4,$0.0,$0.1,$0.7
2964,Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,$0.5,$0.1,$0.0,$0.0,$0.7
2965,Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,$0.2,$0.4,$0.0,$0.1,$0.7
2966,The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,$0.5,$0.1,$0.0,$0.0,$0.7
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015,Misc,Nintendo,$0.0,$0.6,$0.0,$0.0,$0.7
2968,MX vs. ATV Untamed,X360,2007,Racing,THQ,$0.6,$0.1,$0.0,$0.1,$0.7
2969,The Last Remnant,X360,2008,Role-Playing,Square Enix,$0.3,$0.2,$0.2,$0.1,$0.7
2970,Frozen: Olaf's Quest,DS,2013,Platform,Disney Interactive Studios,$0.3,$0.4,$0.0,$0.1,$0.7
2971,The Sims: Medieval,PC,2011,Simulation,Electronic Arts,$0.3,$0.3,$0.0,$0.1,$0.7
2972,Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,$0.3,$0.3,$0.0,$0.1,$0.7
2973,Shark Tale,GBA,2004,Action,Activision,$0.5,$0.2,$0.0,$0.0,$0.7
2974,Plants vs. Zombies: Garden Warfare,XOne,2014,Shooter,Electronic Arts,$0.4,$0.2,$0.0,$0.1,$0.7
2975,Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,$0.3,$0.0,$0.3,$0.0,$0.7
2976,Bakugan: Battle Brawlers,Wii,2009,Action,Activision,$0.6,$0.0,$0.0,$0.1,$0.7
2977,Star Wars: Masters of Teras Kasi,PS,1997,Action,LucasArts,$0.4,$0.3,$0.0,$0.0,$0.7
2978,The Last Story,Wii,2011,Role-Playing,Nintendo,$0.3,$0.1,$0.2,$0.0,$0.7
2979,NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,$0.6,$0.0,$0.0,$0.0,$0.7
2980,Iron Man,PS3,2008,Action,Sega,$0.3,$0.3,$0.0,$0.1,$0.7
2981,Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,$0.2,$0.4,$0.0,$0.1,$0.7
2982,Spider-Man 3,PS3,2007,Platform,Activision,$0.3,$0.3,$0.0,$0.1,$0.7
2983,NCAA Football 2005,XB,2004,Sports,Electronic Arts,$0.6,$0.0,$0.0,$0.0,$0.7
2984,Mortal Kombat Mythologies: Sub-Zero,PS,1997,Fighting,GT Interactive,$0.4,$0.3,$0.0,$0.0,$0.7
2985,Rayman Legends,WiiU,2013,Platform,Ubisoft,$0.3,$0.3,$0.0,$0.1,$0.7
2986,Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,$0.5,$0.1,$0.0,$0.0,$0.7
2987,Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,$0.6,$0.0,$0.0,$0.1,$0.7
2988,Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,$0.2,$0.1,$0.3,$0.1,$0.7
2989,Metro: Last Light,PS4,2014,Action,Deep Silver,$0.2,$0.3,$0.0,$0.1,$0.7
2990,Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,$0.3,$0.0,$0.3,$0.0,$0.7
2991,Mercenaries: Playground of Destruction,XB,2005,Action,LucasArts,$0.5,$0.1,$0.0,$0.0,$0.7
2992,Sniper Elite 3,PS4,2014,Shooter,505 Games,$0.2,$0.3,$0.0,$0.1,$0.7
2993,Doom (2016),XOne,2016,Shooter,Bethesda Softworks,$0.4,$0.2,$0.0,$0.1,$0.7
2994,Bushido Blade 2,PS,1998,Fighting,SquareSoft,$0.3,$0.2,$0.2,$0.0,$0.7
2995,Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,$0.2,$0.1,$0.4,$0.0,$0.7
2996,Need for Speed (2015),XOne,2015,Racing,Electronic Arts,$0.3,$0.3,$0.0,$0.1,$0.7
2997,Cars: Mater-National Championship,DS,2007,Racing,THQ,$0.6,$0.0,$0.0,$0.1,$0.7
2998,FIFA Soccer 06,XB,2005,Sports,Electronic Arts,$0.3,$0.4,$0.0,$0.0,$0.7
2999,Hidden Objects: Mystery Stories,DS,2009,Adventure,GSP,$0.2,$0.4,$0.0,$0.1,$0.7
3000,Red Steel,Wii,2006,Shooter,Ubisoft,$0.6,$0.0,$0.0,$0.1,$0.7
3001,Fight Night 2004,XB,2004,Fighting,Electronic Arts,$0.5,$0.2,$0.0,$0.0,$0.7
3002,Tourist Trophy: The Real Riding Simulator,PS2,2006,Racing,Sony Computer Entertainment,$0.3,$0.2,$0.1,$0.1,$0.7
3003,Mass Effect,PC,2008,Role-Playing,Electronic Arts,$0.0,$0.6,$0.0,$0.1,$0.7
3004,.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,$0.2,$0.2,$0.2,$0.1,$0.7
3005,Country Dance,Wii,2011,Misc,Funbox Media,$0.6,$0.0,$0.0,$0.0,$0.7
3006,Turok,PS3,2008,Action,Touchstone,$0.4,$0.2,$0.0,$0.1,$0.7
3007,Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,$0.3,$0.3,$0.0,$0.1,$0.7
3008,100 Classic Books,DS,2008,Misc,Nintendo,$0.1,$0.5,$0.0,$0.0,$0.7
3009,Unreal Tournament III,PS3,2007,Shooter,Midway Games,$0.3,$0.2,$0.0,$0.1,$0.7
3010,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,$0.2,$0.0,$0.4,$0.0,$0.7
3011,Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,$0.5,$0.2,$0.0,$0.0,$0.7
3012,Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,$0.5,$0.2,$0.0,$0.1,$0.7
3013,Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,$0.3,$0.2,$0.1,$0.1,$0.7
3014,The Darkness,PS3,2007,Shooter,Take-Two Interactive,$0.2,$0.3,$0.0,$0.1,$0.7
3015,Street Sk8er,PS,1998,Sports,Electronic Arts,$0.4,$0.3,$0.0,$0.0,$0.7
3016,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010,Adventure,Disney Interactive Studios,$0.4,$0.2,$0.0,$0.1,$0.7
3017,Contra: Legacy of War,PS,1996,Shooter,Konami Digital Entertainment,$0.4,$0.3,$0.0,$0.0,$0.7
3018,Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,$0.4,$0.2,$0.0,$0.1,$0.7
3019,Fight Night Round 2004,XB,2004,Fighting,Electronic Arts,$0.5,$0.2,$0.0,$0.0,$0.7
3020,Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,$0.3,$0.3,$0.0,$0.1,$0.7
3021,The Biggest Loser: Challenge,Wii,2010,Sports,THQ,$0.5,$0.1,$0.0,$0.1,$0.7
3022,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,$0.0,$0.0,$0.7,$0.0,$0.7
3023,Spice World,PS,1998,Action,Sony Computer Entertainment,$0.4,$0.3,$0.0,$0.0,$0.7
3024,Star Wars: Republic Commando,XB,2005,Shooter,Activision,$0.5,$0.2,$0.0,$0.0,$0.7
3025,Armored Core 3,PS2,2002,Simulation,Metro 3D,$0.2,$0.2,$0.2,$0.1,$0.7
3026,Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,$0.3,$0.3,$0.0,$0.1,$0.7
3027,Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,$0.0,$0.0,$0.7,$0.0,$0.7
3028,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,$0.2,$0.4,$0.0,$0.1,$0.7
3029,Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,Sega,$0.2,$0.4,$0.0,$0.1,$0.7
3030,The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,$0.2,$0.3,$0.0,$0.1,$0.7
3031,Ratatouille,PSP,2007,Action,THQ,$0.2,$0.3,$0.0,$0.2,$0.7
3032,RIFT,PC,2011,Role-Playing,Unknown,$0.4,$0.2,$0.0,$0.1,$0.7
3033,Wild ARMs 2,PS,1999,Role-Playing,Sony Computer Entertainment,$0.2,$0.1,$0.3,$0.0,$0.7
3034,Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,$0.0,$0.7,$0.0,$0.0,$0.7
3035,Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,$0.4,$0.2,$0.0,$0.1,$0.7
3036,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,$0.3,$0.3,$0.0,$0.1,$0.7
3037,Minecraft: Story Mode,PS4,2015,Adventure,Mojang,$0.2,$0.3,$0.0,$0.1,$0.7
3038,TV Show King Party,Wii,2008,Puzzle,Ubisoft,$0.2,$0.4,$0.0,$0.1,$0.7
3039,Crafting Mama,DS,2010,Simulation,505 Games,$0.4,$0.2,$0.0,$0.1,$0.7
3040,007: Quantum of Solace,Wii,2008,Action,Activision,$0.3,$0.3,$0.0,$0.1,$0.7
3041,Rock Band 3,Wii,2010,Misc,MTV Games,$0.6,$0.1,$0.0,$0.1,$0.7
3042,Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,$0.0,$0.6,$0.0,$0.0,$0.7
3043,The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,THQ,$0.3,$0.3,$0.0,$0.1,$0.7
3044,WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,THQ,$0.3,$0.2,$0.0,$0.1,$0.7
3045,Peppa Pig: Fun and Games,DS,2010,Misc,Ubisoft,$0.0,$0.6,$0.0,$0.1,$0.7
3046,Adventures of Tron,2600,1981,Action,Mattel Interactive,$0.6,$0.0,$0.0,$0.0,$0.7
3047,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,$0.3,$0.1,$0.3,$0.0,$0.7
3048,NHL 13,X360,2012,Sports,Electronic Arts,$0.5,$0.1,$0.0,$0.1,$0.7
3049,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,$0.3,$0.3,$0.1,$0.1,$0.7
3050,The Sims 3: High-End Loft Stuff,PC,2010,Simulation,Electronic Arts,$0.0,$0.5,$0.0,$0.1,$0.7
3051,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,N/A,Action,Disney Interactive Studios,$0.5,$0.2,$0.0,$0.0,$0.7
3052,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,DS,2006,Misc,IE Institute,$0.0,$0.0,$0.7,$0.0,$0.7
3053,Pro Pinball: Big Race USA,PS,1999,Simulation,Take-Two Interactive,$0.4,$0.3,$0.0,$0.0,$0.7
3054,NFL Street,XB,2004,Sports,Electronic Arts,$0.5,$0.2,$0.0,$0.0,$0.7
3055,Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,$0.3,$0.2,$0.0,$0.1,$0.7
3056,The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,$0.4,$0.2,$0.0,$0.1,$0.7
3057,Tony Hawk's Proving Ground,PS2,2007,Sports,Activision,$0.6,$0.0,$0.0,$0.1,$0.7
3058,MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,$0.3,$0.3,$0.0,$0.1,$0.7
3059,Naruto Shippuden: Ultimate Ninja 4,PS2,2007,Fighting,Atari,$0.3,$0.0,$0.1,$0.3,$0.7
3060,Tiger Woods PGA Tour 2000,PS,1998,Sports,Electronic Arts,$0.4,$0.3,$0.0,$0.0,$0.7
3061,Darkstone,PS,2001,Role-Playing,Electronic Arts,$0.4,$0.3,$0.0,$0.0,$0.7
3062,NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,$0.3,$0.3,$0.0,$0.1,$0.7
3063,Finding Nemo,XB,2003,Action,THQ,$0.5,$0.2,$0.0,$0.0,$0.7
3064,Thrillville,PS2,2006,Strategy,Atari,$0.6,$0.0,$0.0,$0.1,$0.7
3065,NHL 10,X360,2009,Sports,Electronic Arts,$0.5,$0.1,$0.0,$0.1,$0.7
3066,Jikkyou World Soccer 2000 Final Edition,PS2,2000,Sports,Konami Digital Entertainment,$0.0,$0.0,$0.7,$0.0,$0.7
3067,Madagascar,GC,2005,Platform,Activision,$0.5,$0.1,$0.0,$0.0,$0.7
3068,Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,$0.0,$0.0,$0.7,$0.0,$0.7
3069,Dragon Quest Monsters: Caravan Heart,GBA,2003,Role-Playing,Enix Corporation,$0.0,$0.0,$0.6,$0.0,$0.7
3070,Strawberry Shortcake: Summertime Adventure,GBA,2004,Adventure,Majesco Entertainment,$0.5,$0.2,$0.0,$0.0,$0.7
3071,Rayman Legends,PS3,2013,Platform,Ubisoft,$0.1,$0.4,$0.0,$0.1,$0.7
3072,Rocksmith 2014,PC,2013,Misc,Ubisoft,$0.4,$0.2,$0.0,$0.1,$0.7
3073,Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,$0.3,$0.3,$0.0,$0.1,$0.7
3074,Legend of Legaia,PS,1998,Role-Playing,Sony Computer Entertainment,$0.4,$0.3,$0.0,$0.0,$0.7
3075,Napoleon: Total War,PC,2010,Strategy,Sega,$0.0,$0.5,$0.0,$0.1,$0.7
3076,Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,$0.1,$0.0,$0.6,$0.0,$0.7
3077,Wario: Master of Disguise,DS,2007,Platform,Nintendo,$0.3,$0.0,$0.3,$0.0,$0.7
3078,Toy Story 3: The Video Game,PSP,2010,Action,Disney Interactive Studios,$0.3,$0.3,$0.0,$0.1,$0.7
3079,The Sims: Bustin' Out,GC,2003,Simulation,Electronic Arts,$0.4,$0.2,$0.0,$0.0,$0.7
3080,Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,$0.3,$0.2,$0.0,$0.1,$0.7
3081,Keystone Kapers,2600,1982,Action,Activision,$0.6,$0.0,$0.0,$0.0,$0.7
3082,LEGO Marvel Super Heroes,PSV,2013,Action,Warner Bros. Interactive Entertainment,$0.2,$0.4,$0.0,$0.2,$0.7
3083,New Play Control! Pikmin,Wii,2008,Strategy,Nintendo,$0.3,$0.1,$0.2,$0.0,$0.7
3084,Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,$0.5,$0.2,$0.0,$0.0,$0.7
3085,Suikoden IV,PS2,2004,Role-Playing,Konami Digital Entertainment,$0.2,$0.1,$0.3,$0.1,$0.7
3086,Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,$0.0,$0.0,$0.6,$0.0,$0.7
3087,Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,Disney Interactive Studios,$0.5,$0.2,$0.0,$0.0,$0.7
3088,Um Jammer Lammy,PS,1998,Misc,Sony Computer Entertainment,$0.1,$0.1,$0.4,$0.0,$0.7
3089,Brothers In Arms: Road to Hill 30,XB,2005,Shooter,Ubisoft,$0.5,$0.1,$0.0,$0.0,$0.7
3090,Madden NFL 10,PSP,2009,Sports,Electronic Arts,$0.5,$0.1,$0.0,$0.1,$0.7
3091,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007,Action,Activision,$0.2,$0.3,$0.0,$0.2,$0.7
3092,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,$0.0,$0.0,$0.7,$0.0,$0.7
3093,F1 2015,PS4,2015,Racing,Codemasters,$0.1,$0.4,$0.0,$0.1,$0.7
3094,Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,$0.3,$0.3,$0.0,$0.1,$0.7
3095,Animaniacs Ten Pin Alley,PS,1998,Sports,ASC Games,$0.4,$0.3,$0.0,$0.0,$0.7
3096,Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,$0.4,$0.2,$0.0,$0.1,$0.7
3097,NHL 13,PS3,2012,Sports,Electronic Arts,$0.3,$0.2,$0.0,$0.1,$0.7
3098,Kung Fu Panda,PS2,2008,Action,Activision,$0.2,$0.0,$0.0,$0.4,$0.7
3099,Tom Clancy's EndWar,PS3,2008,Strategy,Ubisoft,$0.3,$0.2,$0.0,$0.1,$0.7
3100,The Evil Within,XOne,2014,Action,Bethesda Softworks,$0.4,$0.3,$0.0,$0.1,$0.7
3101,Tiger Woods PGA Tour 09,X360,2008,Sports,Electronic Arts,$0.4,$0.2,$0.0,$0.1,$0.7
3102,Radiata Stories,PS2,2005,Role-Playing,Square Enix,$0.2,$0.1,$0.3,$0.1,$0.7
3103,F-Zero GX,GC,2003,Racing,Nintendo,$0.4,$0.1,$0.1,$0.0,$0.7
3104,Disney's Chicken Little,PS2,2005,Platform,Disney Interactive Studios,$0.3,$0.3,$0.0,$0.1,$0.7
3105,Wall-E,PSP,2008,Platform,THQ,$0.3,$0.2,$0.0,$0.1,$0.7
3106,Yoshi Topsy-Turvy,GBA,2004,Platform,Nintendo,$0.3,$0.1,$0.3,$0.0,$0.7
3107,Up,DS,2009,Action,THQ,$0.3,$0.3,$0.0,$0.1,$0.7
3108,Monster Jam: Maximum Destruction,PS2,2002,Racing,Ubisoft,$0.3,$0.3,$0.0,$0.1,$0.7
3109,Real Heroes: Firefighter,Wii,2009,Action,Rondomedia,$0.6,$0.0,$0.0,$0.1,$0.7
3110,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,Misc,THQ,$0.5,$0.2,$0.0,$0.0,$0.7
3111,World of Dragon Warrior - Torneko: The Last Hope,PS,1999,Role-Playing,Enix Corporation,$0.0,$0.0,$0.6,$0.0,$0.7
