rank_number,game_name,Platform,year_realse,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
356,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.6,1.5,0.1,0.4,3.6
357,Luigi's Mansion,GC,2001,Action,Nintendo,2.4,0.7,0.5,0.1,3.6
359,WWF SmackDown!,PS,2000,Fighting,THQ,2,1.4,0.1,0.2,3.6
361,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.6,1.4,0.1,0.5,3.5
362,The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.2,1.8,0.1,0.5,3.5
363,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,1.7,1.6,0.1,0.2,3.5
364,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,1.1,0.1,0.4,3.5
370,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.7,0.5,0.1,0.3,3.5
371,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.2,1.7,0.3,0.4,3.5
372,Resident Evil 5,X360,2009,Action,Capcom,2.1,0.9,0.1,0.3,3.5
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.2,0.5,1.8,0.1,3.5
375,Kung Fu,NES,1985,Action,Nintendo,1.6,0.4,1.4,0.1,3.5
377,Clubhouse Games,DS,2006,Misc,Nintendo,0.6,1.8,0.7,0.4,3.5
383,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.9,1.8,0.1,0.7,3.5
386,Tekken 4,PS2,2002,Fighting,Namco Bandai Games,1.6,1.3,0.3,0.3,3.4
387,Battlefield 4,PS4,2013,Shooter,Electronic Arts,1.3,1.5,0.2,0.4,3.4
388,LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.8,1.1,0.1,0.5,3.4
392,F-1 Race,GB,1990,Racing,Nintendo,1.7,0.7,0.6,0.4,3.4
393,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,0.5,2.3,0.1,0.6,3.4
394,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,1.6,1.5,0.2,0.2,3.4
396,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.1,1.4,0.5,0.5,3.4
397,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.4,0.9,0.7,0.3,3.4
399,The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo,1.9,0.7,0.7,0.1,3.4
400,Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,0.7,1.6,0.8,0.3,3.4
404,James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,1.5,1.3,0.1,0.5,3.3
405,Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment,1.4,1,0.6,0.3,3.3
406,Mario Party 9,Wii,2012,Misc,Nintendo,1.2,1.2,0.8,0.2,3.3
408,Max Payne,PS2,2001,Shooter,Take-Two Interactive,2,1.1,0.1,0.2,3.3
409,The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,1.5,1.3,0.1,0.5,3.3
410,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.8,1.9,0.1,0.5,3.3
413,Wii Music,Wii,2008,Misc,Nintendo,1.4,1.1,0.5,0.3,3.3
414,Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.5,1.6,0.3,0.9,3.3
416,Tekken,PS,1995,Fighting,Sony Computer Entertainment,1,1.3,0.8,0.2,3.2
418,L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.3,1.3,0.1,0.5,3.2
423,Killer Instinct,SNES,1995,Fighting,Nintendo,2.3,0.7,0.1,0.1,3.2
424,WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ,1.8,1.2,0.1,0.2,3.2
425,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.4,0.6,0.8,0.4,3.2
429,Enter the Matrix,PS2,2003,Action,Atari,1.8,1.1,0.1,0.2,3.2
430,Super Mario Maker,WiiU,2015,Platform,Nintendo,1.2,0.9,0.9,0.2,3.2
431,Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,1.5,1.1,0.1,0.5,3.2
433,Rhythm Heaven,DS,2008,Misc,Nintendo,0.6,0.5,1.9,0.1,3.2
434,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.1,0.6,0.4,0.2,3.2
436,Animal Crossing,GC,2001,Simulation,Nintendo,1.9,0.2,1,0.1,3.2
438,Sonic Rush,DS,2005,Platform,Sega,1.2,1.6,0.1,0.3,3.2
439,Resident Evil 6,PS3,2012,Shooter,Capcom,0.9,1,0.9,0.4,3.2
445,Personal Trainer: Cooking,DS,2006,Misc,Nintendo,0.9,1,1,0.2,3.1
446,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.7,0.9,0.1,0.4,3.1
448,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.3,1.3,0.1,0.5,3.1
451,Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.2,0.3,0.6,0.1,3.1
453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.9,0.5,0.6,0.1,3.1
455,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.4,1,0.5,0.2,3.1
456,Donkey Kong,GB,1994,Platform,Nintendo,1.6,0.6,0.6,0.3,3.1
461,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.1,0.6,0.1,0.2,3
464,Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.4,1.1,0.1,0.5,3
466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2,0.5,0.5,0.1,3
467,WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,1.5,1.1,0.1,0.4,3
472,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1,1.4,0.1,0.5,3
473,Star Fox,SNES,1993,Shooter,Nintendo,1.6,0.5,0.8,0.1,3
475,World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.1,1.3,1.2,0.5,3
476,Devil May Cry,PS2,2001,Action,Capcom,1.4,0.9,0.6,0.1,3
477,Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.5,1,1.4,0.1,3
478,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.3,1.1,0.1,0.5,3
481,Sonic Heroes,PS2,2003,Platform,Sega,1,1.4,0.1,0.5,3
484,Street Fighter IV,X360,2009,Fighting,Capcom,1.8,0.7,0.2,0.3,3
486,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.2,0.5,0.1,0.2,2.9
488,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.8,0.7,0.1,0.4,2.9
489,Pac-Man Collection,GBA,2001,Puzzle,Atari,2.1,0.8,0.1,0.1,2.9
491,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.9,1.1,0.7,0.3,2.9
492,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.4,1.1,0.1,0.3,2.9
493,Super Mario World 2: Yoshi's Island,GBA,2002,Platform,Nintendo,1.8,0.5,0.6,0.1,2.9
494,FIFA 14,PS4,2013,Sports,Electronic Arts,0.6,1.9,0.1,0.3,2.9
498,World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,0.1,1.2,1.1,0.5,2.9
499,Need for Speed: Most Wanted,PS3,2012,Racing,Electronic Arts,0.7,1.5,0.1,0.6,2.9
500,Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,1,0.3,1.4,0.2,2.9
505,Colin McRae Rally,PS,1998,Racing,Codemasters,0.1,2.4,0.1,0.2,2.9
510,F-Zero,SNES,1990,Racing,Nintendo,1.4,0.5,0.9,0.1,2.9
511,Yoshi's Story,N64,1997,Platform,Nintendo,1.3,0.5,1,0.1,2.9
514,FIFA 16,PS3,2015,Sports,Electronic Arts,0.4,2,0.1,0.4,2.9
515,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.9,0.6,0.1,0.3,2.8
516,BioShock,X360,2007,Shooter,Take-Two Interactive,1.7,0.9,0.1,0.3,2.8
518,Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.3,1.1,0.1,0.4,2.8
520,Metroid Prime,GC,2002,Shooter,Nintendo,2,0.7,0.1,0.1,2.8
527,Yoshi's Island DS,DS,2006,Platform,Nintendo,1.5,0.1,1.1,0.2,2.8
528,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,0.3,0.2,2.1,0.2,2.8
529,Killzone 3,PS3,2011,Shooter,Sony Computer Entertainment,1.5,0.9,0.1,0.4,2.8
536,Professor Layton and the Last Specter,DS,2009,Puzzle,Nintendo,0.3,1.5,0.7,0.3,2.8
537,Monster Hunter Tri,3DS,2011,Role-Playing,Nintendo,0.5,0.3,2,0.1,2.8
539,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.3,1,0.1,0.5,2.8
540,Ratchet & Clank: Going Commando,PS2,2003,Platform,Sony Computer Entertainment,1.4,0.8,0.3,0.3,2.8
541,Tekken 6,PS3,2009,Fighting,Namco Bandai Games,1.2,1,0.2,0.4,2.8
544,Saints Row: The Third,X360,2011,Action,THQ,1.3,1.2,0.1,0.3,2.8
546,Mario Paint,SNES,1992,Misc,Nintendo,1.4,0.5,0.7,0.1,2.8
547,Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.1,1.3,0.1,0.3,2.7
548,PokÃ©mon Stadium 2,N64,2000,Strategy,Nintendo,1,0.4,1.1,0.2,2.7
549,Metroid,NES,1986,Action,Nintendo,1.3,0.3,1,0.1,2.7
552,The Legend of Zelda: A Link to the Past,GBA,2002,Action,Nintendo,1.8,0.5,0.3,0.1,2.7
553,Onimusha: Warlords,PS2,2001,Action,Virgin Interactive,1,0.5,1.1,0.1,2.7
555,Mario Party,N64,1998,Misc,Nintendo,1.3,0.5,0.9,0.1,2.7
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,Nintendo,1.6,0.5,0.4,0.2,2.7
564,Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,0.8,0.8,0.9,0.3,2.7
578,Pac-Man: Adventures in Time,PSP,2006,Fighting,Sony Computer Entertainment,0.8,1.1,0.1,0.7,2.6
580,God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1.7,0.5,0.1,0.4,2.6
582,Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.1,1.1,0.2,0.3,2.6
586,Style Savvy,DS,2008,Simulation,Nintendo,0.6,0.8,1,0.2,2.6
588,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1,0.5,0.9,0.1,2.6
589,Streets of Rage,GEN,1990,Action,Sega,1.9,0.6,0.1,0.1,2.6
591,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Platform,Sony Computer Entertainment,0.9,1.1,0.1,0.5,2.6
594,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.9,1.3,0.1,0.3,2.6
596,Monster Hunter Freedom 2,PSP,2007,Role-Playing,Capcom,0.4,0.3,1.8,0.2,2.6
598,Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment,1.3,0.7,0.3,0.2,2.6
599,Art Academy,DS,2010,Misc,Nintendo,0.3,1.7,0.3,0.3,2.6
602,Sonic Adventure 2 Battle,GC,2001,Platform,Sega,1.7,0.6,0.2,0.1,2.6
605,PokÃ©mon Colosseum,GC,2003,Role-Playing,Nintendo,1.2,0.6,0.7,0.1,2.5
606,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.1,0.9,0.3,0.3,2.5
609,Crazy Taxi,PS2,2001,Racing,Acclaim Entertainment,1.1,1.1,0.1,0.2,2.5
610,Perfect Dark,N64,2000,Action,Nintendo,1.6,0.8,0.2,0.1,2.5
613,Tomb Raider (2013),PS3,2013,Action,Square Enix,0.6,1.3,0.1,0.5,2.5
615,PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,0.1,0.1,0.3,2.1,2.5
617,Saints Row: The Third,PS3,2011,Action,THQ,0.9,1.1,0.2,0.4,2.5
621,Resistance 2,PS3,2008,Shooter,Sony Computer Entertainment,1.2,0.9,0.1,0.4,2.5
623,Tomb Raider: The Last Revelation,PS,1998,Action,Eidos Interactive,1.2,1.1,0.1,0.1,2.5
624,NBA 2K13,PS3,2012,Sports,Take-Two Interactive,1.7,0.4,0.1,0.3,2.5
627,Mario Party 4,GC,2002,Misc,Nintendo,1.1,0.4,0.9,0.1,2.5
629,Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.6,0.5,0.1,0.3,2.5
631,Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.9,0.1,1.3,0.1,2.5
638,Sonic Adventure,DC,1998,Platform,Sega,1.3,0.6,0.5,0.1,2.4
639,Ice Hockey,NES,1988,Sports,Nintendo,1.3,0.3,0.8,0.1,2.4
640,pro evolution soccer 2011,PS3,2010,Sports,Konami Digital Entertainment,0.3,1.2,0.5,0.4,2.4
641,Dragon Ball Z: Budokai 2,PS2,2003,Fighting,Atari,1.6,0.2,0.5,0.1,2.4
643,Dino Crisis,PS,1998,Action,Capcom,0.8,0.8,0.7,0.1,2.4
651,Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.5,1.5,0.1,0.4,2.4
662,Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1,0.8,0.3,0.4,2.4
672,Kirby's Dream Land 2,GB,1995,Platform,Nintendo,0.7,0.1,1.5,0.1,2.4
674,Donkey Kong Land II,GB,1996,Platform,Nintendo,1.4,0.5,0.4,0.1,2.4
680,Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,1.1,0.7,0.3,0.2,2.3
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.1,0.5,0.5,0.2,2.3
685,Mario Tennis,N64,2000,Sports,Nintendo,0.8,0.4,1.1,0.1,2.3
687,James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,0.9,1.1,0.1,0.3,2.3
688,WarioWare Touched!,DS,2004,Puzzle,Nintendo,0.5,0.5,1.2,0.1,2.3
691,Cool Boarders 3,PS,1998,Sports,989 Studios,1.7,0.5,0.1,0.1,2.3
694,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,1,0.5,0.6,0.2,2.3
695,Dead Island,PS3,2011,Action,Deep Silver,1.1,0.8,0.2,0.3,2.3
699,Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,0.3,1.3,0.5,0.3,2.3
705,Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,1.1,0.8,0.1,0.4,2.3
707,Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,1.1,0.4,0.6,0.1,2.3
711,Wario Land 4,GBA,2001,Platform,Nintendo,0.9,0.7,0.5,0.1,2.3
714,Resident Evil 4,Wii,2007,Action,Capcom,1.3,0.6,0.1,0.2,2.3
715,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,0.3,0.8,0.9,0.3,2.3
716,Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,Capcom,0.6,0.4,1.1,0.1,2.3
717,Cool Boarders 2,PS,1997,Sports,UEP Systems,1.5,0.5,0.2,0.1,2.3
718,Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,1.5,0.3,0.5,0.1,2.3
720,Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.7,0.4,1.1,0.1,2.3
721,Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,0.5,0.5,0.9,0.3,2.3
722,Sonic Advance,GBA,2001,Platform,Sega,1.2,0.7,0.2,0.1,2.2
727,New Super Luigi U,WiiU,2013,Platform,Nintendo,1.3,0.6,0.2,0.2,2.2
730,The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,Nintendo,1,0.6,0.5,0.1,2.2
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,Capcom,1.1,0.8,0.1,0.3,2.2
738,Wario Land 3,GB,2000,Platform,Nintendo,1.1,0.5,0.3,0.2,2.2
742,Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,0.3,1,0.6,0.3,2.2
745,Kirby's Pinball Land,GB,1992,Misc,Nintendo,0.9,0.2,1.1,0.1,2.2
746,Donkey Kong Country,GB,2000,Platform,Nintendo,1,0.7,0.3,0.1,2.2
747,Hitman: Absolution,PS3,2012,Action,Square Enix,0.6,1.1,0.1,0.5,2.2
753,Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,Nintendo,1.5,0.2,0.5,0.1,2.2
760,Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.5,1.2,0.1,0.3,2.2
766,R.C. Pro-Am,NES,1988,Racing,Nintendo,1.5,0.4,0.2,0.1,2.1
770,Tetris DS,DS,2006,Puzzle,Nintendo,0.6,0.1,1.4,0.1,2.1
771,Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,0.8,0.4,0.9,0.1,2.1
772,Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.2,0.1,0.3,2.1
774,Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.9,0.1,1.1,0.1,2.1
775,Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,1.5,0.1,0.5,0.1,2.1
776,Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,1.4,0.6,0.1,0.1,2.1
778,NBA 2K12,PS3,2011,Sports,Take-Two Interactive,1.6,0.3,0.1,0.2,2.1
781,PES 2009: Pro Evolution Soccer,PS3,2008,Sports,Konami Digital Entertainment,0.1,1.3,0.4,0.3,2.1
783,Mario Sports Mix,Wii,2010,Sports,Nintendo,0.9,0.5,0.6,0.1,2.1
785,Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,0.6,0.2,1.1,0.1,2.1
792,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,1,0.6,0.3,0.2,2.1
794,Dead Rising,X360,2006,Action,Capcom,1.2,0.7,0.1,0.2,2.1
795,Finding Nemo,PS2,2003,Action,THQ,1.3,0.6,0.1,0.2,2.1
799,Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.7,0.9,0.1,0.3,2.1
800,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.5,0.4,1,0.3,2.1
803,Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,0.6,1,0.1,0.4,2.1
805,Mario Party 5,GC,2003,Misc,Nintendo,1,0.3,0.7,0.1,2.1
806,Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,0.6,1,0.1,0.4,2.1
811,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.6,0.4,0.8,0.3,2.1
813,Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,0.8,0.5,0.5,0.2,2.1
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,0.7,0.5,0.7,0.1,2.1
820,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,0.7,0.5,0.8,0.1,2.1
821,SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,1.1,0.6,0.1,0.3,2.1
822,Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,0.9,0.6,0.5,0.1,2.1
827,Sonic Mega Collection,GC,2002,Misc,Infogrames,1.5,0.5,0.1,0.1,2.1
828,Diablo III,PS3,2013,Role-Playing,Activision,0.7,0.8,0.2,0.4,2.1
831,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,1.1,0.3,0.5,0.1,2
836,Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.5,0.3,0.1,2
839,1080Â°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.3,0.6,0.1,0.1,2
849,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.5,0.5,0.1,2
853,Tenchu: Stealth Assassins,PS,1997,Action,Activision,1,0.6,0.3,0.1,2
855,Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.2,0.6,0.1,0.1,2
859,Resident Evil 6,X360,2012,Shooter,Capcom,1.1,0.6,0.1,0.2,2
860,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.7,0.9,0.1,0.3,2
864,Devil May Cry 2,PS2,2003,Action,Capcom,0.7,0.6,0.5,0.2,2
868,Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,0.5,0.5,0.6,0.3,2
869,Rad Racer,NES,1986,Racing,Nintendo,1.1,0.4,0.4,0.1,2
882,Alleyway,GB,1989,Puzzle,Nintendo,1,0.4,0.6,0.1,1.9
891,Tetris DX,GB,1998,Puzzle,Nintendo,1.1,0.6,0.2,0.1,1.9
893,Watch Dogs,PS3,2014,Action,Ubisoft,0.6,0.9,0.1,0.4,1.9
896,The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.9,0.5,0.4,0.1,1.9
910,Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.6,0.9,0.1,0.3,1.9
918,Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts,0.9,0.7,0.1,0.2,1.9
921,Star Fox Adventures,GC,2002,Adventure,Nintendo,1,0.5,0.3,0.1,1.9
923,Dynasty Warriors 3,PS2,2001,Action,THQ,0.5,0.2,1.1,0.1,1.9
924,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.7,0.6,0.4,0.1,1.9
925,The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,0.9,0.5,0.4,0.1,1.9
928,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.9,0.4,0.4,0.1,1.9
934,Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.6,0.4,0.7,0.1,1.9
935,GoldenEye 007 (2010),Wii,2010,Action,Activision,0.9,0.7,0.1,0.2,1.9
936,Mario Party: Island Tour,3DS,2013,Misc,Nintendo,0.6,0.6,0.6,0.1,1.9
939,Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.3,0.2,0.4,0.1,1.9
941,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.1,0.5,0.1,0.2,1.9
943,Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,1,0.3,0.4,0.2,1.8
949,Just Cause 3,PS4,2015,Action,Square Enix,0.5,1,0.1,0.3,1.8
952,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.9,0.3,0.5,0.1,1.8
953,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.6,0.3,0.8,0.1,1.8
957,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.9,0.7,0.1,0.1,1.8
959,The Evil Within,PS4,2014,Action,Bethesda Softworks,0.6,0.8,0.1,0.3,1.8
961,Crazy Taxi,DC,2000,Racing,Sega,1.1,0.5,0.1,0.1,1.8
965,Sonic Advance 2,GBA,2002,Platform,Sega,0.9,0.6,0.2,0.1,1.8
969,Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.5,1,0.1,0.3,1.8
970,Disney's The Lion King,SNES,1994,Platform,Virgin Interactive,1.3,0.4,0.1,0.1,1.8
971,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,0.5,0.9,0.1,0.3,1.8
977,Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo,0.3,1,0.4,0.1,1.8
978,Just Cause 2,PS3,2010,Action,Square Enix,0.5,0.9,0.1,0.3,1.8
979,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.4,0.5,0.7,0.2,1.8
980,The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.9,0.6,0.1,0.1,1.8
983,Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.5,0.8,0.1,1.8
985,Final Fantasy II,SNES,1991,Role-Playing,Square,0.2,0.1,1.3,0.1,1.8
987,Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.2,0.3,0.2,0.1,1.8
992,Golden Sun,GBA,2001,Role-Playing,Nintendo,0.9,0.4,0.4,0.1,1.8
993,Sonic the Hedgehog 3,GEN,1994,Platform,Sega,1,0.5,0.2,0.1,1.8
1006,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,0.9,0.4,0.3,0.2,1.8
1008,Pro Evolution Soccer,PS2,2001,Sports,Konami Digital Entertainment,0.1,0.9,0.5,0.3,1.8
1011,Disney's Aladdin,SNES,1993,Platform,Capcom,0.9,0.3,0.2,0.3,1.8
1013,Cooking Mama 3: Shop & Chop,DS,2009,Simulation,505 Games,0.8,0.7,0.1,0.2,1.8
1017,Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Role-Playing,Namco Bandai Games,0.6,0.5,0.5,0.2,1.7
1024,Diablo III,PS4,2014,Role-Playing,Activision,0.5,0.9,0.1,0.3,1.7
1025,Uncharted: Golden Abyss,PSV,2011,Shooter,Sony Computer Entertainment,0.6,0.8,0.1,0.3,1.7
1026,Destiny,PS3,2014,Shooter,Activision,0.7,0.7,0.1,0.3,1.7
1028,Overwatch,PS4,2016,Shooter,Activision,0.6,0.7,0.1,0.3,1.7
1030,Harry Potter and the Sorcerer's Stone,GB,2001,Action,Electronic Arts,0.9,0.6,0.1,0.1,1.7
1035,The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.6,0.8,0.1,0.3,1.7
1041,Star Ocean: Till The End of Time,PS2,2003,Role-Playing,Ubisoft,0.8,0.2,0.6,0.2,1.7
1046,Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.9,0.3,0.3,0.2,1.7
1053,We Ski,Wii,2008,Sports,Namco Bandai Games,1,0.4,0.1,0.2,1.7
1055,Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.6,0.2,0.8,0.1,1.7
1064,Dragon Age: Origins,PS3,2009,Role-Playing,Electronic Arts,1,0.4,0.1,0.2,1.7
1068,Harry Potter and the Sorcerer's Stone,GBA,2001,Action,Electronic Arts,0.9,0.7,0.1,0.1,1.7
1072,Resident Evil 4,GC,2005,Action,Capcom,1,0.4,0.2,0.1,1.7
1073,Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,0.8,0.5,0.1,0.3,1.7
1079,Time Crisis,PS,1997,Shooter,Namco Bandai Games,0.4,0.9,0.3,0.1,1.7
1083,Metroid Fusion,GBA,2002,Action,Nintendo,1.2,0.3,0.2,0.1,1.7
1089,Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.4,0.7,0.4,0.2,1.7
1099,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.6,0.7,0.1,0.3,1.7
1100,Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.6,0.7,0.1,0.3,1.7
1102,SSX,PS2,2000,Sports,Electronic Arts,0.8,0.6,0.1,0.2,1.7
1109,Mario Party 6,GC,2004,Misc,Nintendo,0.9,0.1,0.6,0.1,1.7
1110,Super Scope 6,SNES,1991,Shooter,Nintendo,1.1,0.4,0.2,0.1,1.7
1111,Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.5,0.7,0.3,0.2,1.7
1124,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.4,0.9,0.1,0.3,1.6
